uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
Q9BWU1,L2,17,850,激酶,C 无置信度记录,,
Q9BY08,L4,39,1950,其他/未分类,B 预测·置信达标,0.945,0.938
Q9BY41,L1,104,5200,表观,A 实验结构,,
Q9BY41,L2,393,19650,表观,A 实验结构,,
Q9BZ95,L4,11,550,表观,A 实验结构,,
Q9BZP6,L2,13,650,其他酶,A 实验结构,,
Q9C0B1,L1,81,4050,其他酶,A 实验结构,,
Q9C0B1,L2,30,1500,其他酶,A 实验结构,,
Q9CVD2,L4,16,800,其他/未分类,C 预测·置信不足,0.627,0.757
Q9DGD3,L4,74,3700,其他酶,B 预测·置信达标,0.889,0.975
Q9GZQ6,L4,25,1250,GPCR,B 预测·置信达标,0.757,0.954
Q9GZQ8,L1,18,900,其他/未分类,A 实验结构,,
Q9GZT9,L2,78,3900,其他酶,A 实验结构,,
Q9GZZ6,L4,11,550,离子通道,B 预测·置信达标,0.701,0.662
Q9H093,L4,11,550,激酶,C 预测·置信不足,0.528,0.991
Q9H0K1,L4,109,5450,激酶,C 预测·置信不足,0.481,0.977
Q9H299,L4,15,750,其他/未分类,B 预测·置信达标,0.926,0.878
Q9H2K2,L1,34,1700,其他酶,A 实验结构,,
Q9H2K2,L2,80,4000,其他酶,A 实验结构,,
Q9H300,L4,16,800,其他酶,B 预测·置信达标,0.727,0.962
Q9H3N8,L2,55,2750,GPCR,A 实验结构,,
Q9H7B4,L2,25,1250,表观,A 实验结构,,
Q9H7M9,L4,24,1200,其他/未分类,C 预测·置信不足,0.629,0.883
Q9H7Z6,L4,38,1900,表观,A 实验结构,,
Q9H8M2,L2,391,19550,表观,A 实验结构,,
Q9H999,L1,28,1400,其他酶,A 实验结构,,
Q9H999,L2,81,4050,其他酶,A 实验结构,,
Q9H9B1,L1,18,900,表观,A 实验结构,,
Q9HAZ1,L2,135,6750,激酶,A 实验结构,,
Q9HB14,L4,15,750,离子通道,A 实验结构,,
Q9HBH9,L1,12,600,激酶,A 实验结构,,
Q9HBH9,L2,104,5200,激酶,A 实验结构,,
Q9HBX9,L4,45,2250,GPCR,C 无置信度记录,,
Q9HC35,L4,15,750,其他/未分类,C 预测·置信不足,0.676,0.473
Q9HC84,L4,185,9250,其他/未分类,B 预测·置信达标,0.789,0.669
Q9HCE5,L4,193,9650,其他/未分类,C 预测·置信不足,0.642,0.506
Q9HCR9,L3,40,2000,其他酶,B 预测·置信达标,0.709,0.896
Q9IWW8,L4,18,900,其他酶,C 预测·置信不足,0.596,0.803
Q9NP56,L3,71,3550,其他酶,B 预测·置信达标,0.796,0.977
Q9NPC1,L3,17,850,GPCR,B 预测·置信达标,0.792,0.894
Q9NPF7,L4,50,2500,其他/未分类,C 预测·置信不足,0.609,0.920
Q9NPH5,L4,96,4800,其他酶,B 预测·置信达标,0.842,0.820
Q9NQS5,L1,13,650,GPCR,A 实验结构,,
Q9NQS5,L2,46,2300,GPCR,A 实验结构,,
Q9NR19,L4,142,7100,其他酶,B 预测·置信达标,0.850,0.904
Q9NR22,L3,11,550,表观,B 预测·置信达标,0.847,0.953
Q9NR48,L2,35,1750,表观,A 实验结构,,
Q9NR96,L4,38,1900,其他/未分类,B 预测·置信达标,0.851,0.819
Q9NR97,L2,58,2900,其他/未分类,A 实验结构,,
Q9NSD7,L4,15,750,GPCR,C 预测·置信不足,0.665,0.952
Q9NSU2,L4,116,5800,其他/未分类,B 预测·置信达标,0.774,0.955
Q9NSY1,L2,68,3400,激酶,A 实验结构,,
Q9NVM4,L4,10,500,表观,B 预测·置信达标,0.929,0.930
Q9NWZ3,L1,91,4550,激酶,A 实验结构,,
Q9NWZ3,L2,1458,72900,激酶,A 实验结构,,
Q9NXA8,L1,13,650,表观,A 实验结构,,
Q9NXS2,L2,41,2050,其他酶,A 实验结构,,
Q9NY59,L4,20,1000,其他酶,C 预测·置信不足,0.696,0.861
Q9NYK1,L2,58,2900,其他/未分类,C 无置信度记录,,
Q9NYL2,L2,12,600,激酶,A 实验结构,,
Q9NYV4,L1,14,700,激酶,A 实验结构,,
Q9NYV4,L2,282,14100,激酶,A 实验结构,,
Q9NZQ7,L1,85,4250,其他/未分类,A 实验结构,,
Q9NZQ7,L2,876,43800,其他/未分类,A 实验结构,,
Q9P1W9,L1,23,1150,激酶,A 实验结构,,
Q9P1W9,L2,19,950,激酶,A 实验结构,,
Q9P2K8,L1,17,850,激酶,A 实验结构,,
Q9P2K8,L2,86,4300,激酶,A 实验结构,,
Q9QYN8,L2,26,1300,GPCR,C 无置信度记录,,
Q9UBE0,L4,339,16950,其他/未分类,C 无置信度记录,,
Q9UBF8,L1,43,2150,其他酶,A 实验结构,,
Q9UBF8,L2,26,1300,其他酶,A 实验结构,,
Q9UBM7,L4,299,14950,其他酶,C 无置信度记录,,
Q9UBN7,L1,426,21300,表观,A 实验结构,,
Q9UBN7,L2,1401,70050,表观,A 实验结构,,
Q9UDY8,L1,13,650,其他酶,A 实验结构,,
Q9UDY8,L2,417,20850,其他酶,A 实验结构,,
Q9UEE5,L2,20,1000,激酶,A 实验结构,,
Q9UGI9,L4,13,650,激酶,C 无置信度记录,,
Q9UGL1,L1,10,500,表观,A 实验结构,,
Q9UGN5,L1,40,2000,其他酶,A 实验结构,,
Q9UGN5,L2,164,8200,其他酶,A 实验结构,,
Q9UHH9,L4,91,4550,其他酶,C 无置信度记录,,
Q9UIQ6,L1,23,1150,蛋白酶,A 实验结构,,
Q9UIQ6,L2,17,850,蛋白酶,A 实验结构,,
Q9UJ71,L4,73,3650,其他/未分类,A 实验结构,,
Q9UK32,L2,22,1100,激酶,A 实验结构,,
Q9UKE5,L1,13,650,激酶,A 实验结构,,
Q9UKE5,L2,50,2500,激酶,A 实验结构,,
Q9UKP4,L4,289,14450,其他酶,C 无置信度记录,,
Q9UKS7,L3,39,1950,其他/未分类,A 实验结构,,
Q9UKV0,L1,17,850,表观,C 无置信度记录,,
Q9UKX2,L4,46,2300,其他/未分类,C 无置信度记录,,
Q9UL62,L2,57,2850,离子通道,A 实验结构,,
Q9ULC5,L4,179,8950,其他酶,C 无置信度记录,,
Q9ULV8,L4,569,28450,其他酶,A 实验结构,,
Q9ULX7,L1,24,1200,其他酶,A 实验结构,,
Q9ULX7,L2,12,600,其他酶,A 实验结构,,
Q9UM07,L2,824,41200,其他酶,A 实验结构,,
Q9UM73,L1,42,2100,激酶,A 实验结构,,
Q9UM73,L2,116,5800,激酶,A 实验结构,,
Q9UNA0,L2,80,4000,蛋白酶,A 实验结构,,
Q9UNQ0,L2,12,600,转运体,A 实验结构,,
Q9UQB9,L1,10,500,激酶,A 实验结构,,
Q9UQB9,L2,15,750,激酶,A 实验结构,,
Q9UQD0,L1,15,750,离子通道,A 实验结构,,
Q9UQD0,L2,322,16100,离子通道,A 实验结构,,
Q9UQL6,L1,21,1050,表观,C 无置信度记录,,
Q9WHN8,L4,201,10050,其他/未分类,C 预测·置信不足,0.673,0.807
Q9WKE8,L1,11,550,其他酶,C 无置信度记录,,
Q9Y233,L1,42,2100,其他酶,A 实验结构,,
Q9Y233,L2,81,4050,其他酶,A 实验结构,,
Q9Y239,L4,58,2900,其他/未分类,B 预测·置信达标,0.845,0.934
Q9Y243,L1,10,500,激酶,C 无置信度记录,,
Q9Y251,L2,53,2650,其他酶,A 实验结构,,
Q9Y2D0,L1,61,3050,其他酶,C 无置信度记录,,
Q9Y2I1,L4,10,500,其他/未分类,B 预测·置信达标,0.857,0.812
Q9Y2I7,L4,394,19700,其他酶,C 预测·置信不足,0.632,0.912
Q9Y2K2,L1,38,1900,激酶,A 实验结构,,
Q9Y2K2,L2,44,2200,激酶,A 实验结构,,
Q9Y2R2,L1,12,600,其他酶,A 实验结构,,
Q9Y463,L1,24,1200,激酶,A 实验结构,,
Q9Y4K0,L4,47,2350,其他酶,B 预测·置信达标,0.828,0.955
Q9Y4K4,L3,10,500,激酶,C 预测·置信不足,0.695,0.987
Q9Y572,L2,30,1500,激酶,A 实验结构,,
Q9Y5N1,L2,28,1400,GPCR,A 实验结构,,
Q9Y5X5,L4,17,850,GPCR,B 预测·置信达标,0.709,0.922
Q9Y5Y6,L2,30,1500,蛋白酶,A 实验结构,,
Q9Y5Y9,L1,41,2050,离子通道,A 实验结构,,
Q9Y5Y9,L2,632,31600,离子通道,A 实验结构,,
Q9Y5Z0,L1,227,11350,蛋白酶,A 实验结构,,
Q9Y5Z0,L2,317,15850,蛋白酶,A 实验结构,,
Q9Y618,L4,16,800,其他/未分类,C 无置信度记录,,
Q9Y657,L2,11,550,表观,A 实验结构,,
Q9Y6M4,L3,34,1700,激酶,A 实验结构,,
Q9Z0U4,L2,22,1100,GPCR,C 无置信度记录,,
Q9Z1M0,L2,11,550,离子通道,A 实验结构,,
